id,university,department,program,rank,score,category
"203910699","KOÇ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",24,555.4201,"say"
"203110477","İSTANBUL MEDİPOL ÜNİVERSİTESİ","Uluslararası Tıp Fakültesi","Tıp",31,554.91557,"say"
"203910363","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",122,550.88113,"say"
"200110071","ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",203,549.12085,"say"
"203910054","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Fizik",254,548.21253,"say"
"202110408","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",286,547.38649,"say"
"203110035","İSTANBUL MEDİPOL ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",363,545.97879,"say"
"203910399","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği",386,545.60719,"say"
"202110426","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği",452,544.67094,"say"
"205411015","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",532,543.68639,"say"
"203910424","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği",758,541.61792,"say"
"108410336","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",945,539.85314,"say"
"102210277","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",1008,539.31607,"say"
"203910115","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Matematik",1234,537.27415,"say"
"104810626","HACETTEPE ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",1242,537.19919,"say"
"205110117","SABANCI ÜNİVERSİTESİ","Mühendislik ve Doğa Bilimleri Fakültesi","Mühendislik ve Doğa Bilimleri Programları",1288,536.76188,"say"
"111610025","İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA","Cerrahpaşa Tıp Fakültesi","Tıp",1311,536.61927,"say"
"105510608","İSTANBUL TEKNİK ÜNİVERSİTESİ","Bilgisayar ve Bilişim Fakültesi","Bilgisayar Mühendisliği",1348,536.3077,"say"
"203910487","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Makine Mühendisliği",1391,535.83881,"say"
"203910557","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Moleküler Biyoloji ve Genetik",1419,535.6393,"say"
"108410354","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği",1603,534.41115,"say"
"202110444","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği",1676,533.90009,"say"
"204810176","ÖZYEĞİN ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",1734,533.51781,"say"
"105590133","İSTANBUL TEKNİK ÜNİVERSİTESİ","Bilgisayar ve Bilişim Fakültesi","Yapay Zeka ve Veri Mühendisliği",1763,533.26505,"say"
"205410114","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",1804,532.97144,"say"
"102210286","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği",1858,532.61394,"say"
"104810617","HACETTEPE ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",1935,532.11949,"say"
"102210295","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği",2053,531.37897,"say"
"202110877","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Makine Mühendisliği",2086,531.1867,"say"
"203910451","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Kimya-Biyoloji Mühendisliği",2140,530.85631,"say"
"105510626","İSTANBUL TEKNİK ÜNİVERSİTESİ","Elektrik-Elektronik Fakültesi","Elektronik ve Haberleşme Mühendisliği",2388,529.41707,"say"
"202110735","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği",2392,529.39487,"say"
"108410363","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği",2408,529.32583,"say"
"205490113","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Yapay Zeka Mühendisliği",2474,528.94499,"say"
"205710544","TÜRK HAVA KURUMU ÜNİVERSİTESİ","Hava Ulaştırma Fakültesi","Pilotaj (Fakülte)",2508,528.77936,"say"
"112410952","ESKİŞEHİR TEKNİK ÜNİVERSİTESİ","Havacılık ve Uzay Bilimleri Fakültesi","Pilotaj (Fakülte)",2519,528.66706,"say"
"203910099","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Kimya",2544,528.5497,"say"
"205410132","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği",2681,527.87995,"say"
"202110126","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Fen Fakültesi","Moleküler Biyoloji ve Genetik",2774,527.20552,"say"
"108410381","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","Mühendislik Fakültesi","Havacılık ve Uzay Mühendisliği",2792,527.10936,"say"
"101190208","ANKARA ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",2826,526.9789,"say"
"203910706","KOÇ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp",2887,526.63166,"say"
"105510538","İSTANBUL TEKNİK ÜNİVERSİTESİ","Uçak ve Uzay Bilimleri Fakültesi","Uçak Mühendisliği",2963,526.27204,"say"
"202110065","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Fen Fakültesi","Fizik",3035,525.92666,"say"
